fecha,indicador,valor,fuente
2022-02-20,TC_oficial_venta,112.0,argentinadatos.com
2022-02-21,TC_oficial_venta,113.0,argentinadatos.com
2022-02-22,TC_oficial_venta,113.0,argentinadatos.com
2022-02-23,TC_oficial_venta,113.0,argentinadatos.com
2022-02-24,TC_oficial_venta,113.0,argentinadatos.com
2022-02-25,TC_oficial_venta,113.0,argentinadatos.com
2022-02-26,TC_oficial_venta,113.0,argentinadatos.com
2022-02-27,TC_oficial_venta,113.0,argentinadatos.com
2022-02-28,TC_oficial_venta,113.0,argentinadatos.com
2022-03-01,TC_oficial_venta,113.0,argentinadatos.com
2022-03-02,TC_oficial_venta,113.0,argentinadatos.com
2022-03-03,TC_oficial_venta,113.0,argentinadatos.com
2022-03-04,TC_oficial_venta,114.0,argentinadatos.com
2022-03-05,TC_oficial_venta,114.0,argentinadatos.com
2022-03-06,TC_oficial_venta,114.0,argentinadatos.com
2022-03-07,TC_oficial_venta,114.0,argentinadatos.com
2022-03-08,TC_oficial_venta,114.0,argentinadatos.com
2022-03-09,TC_oficial_venta,114.0,argentinadatos.com
2022-03-10,TC_oficial_venta,114.0,argentinadatos.com
2022-03-11,TC_oficial_venta,114.0,argentinadatos.com
2022-03-12,TC_oficial_venta,114.0,argentinadatos.com
2022-03-13,TC_oficial_venta,114.0,argentinadatos.com
2022-03-14,TC_oficial_venta,115.0,argentinadatos.com
2022-03-15,TC_oficial_venta,115.0,argentinadatos.com
2022-03-16,TC_oficial_venta,115.0,argentinadatos.com
2022-03-17,TC_oficial_venta,115.0,argentinadatos.com
2022-03-18,TC_oficial_venta,115.0,argentinadatos.com
2022-03-19,TC_oficial_venta,115.0,argentinadatos.com
2022-03-20,TC_oficial_venta,115.0,argentinadatos.com
2022-03-21,TC_oficial_venta,115.0,argentinadatos.com
2022-03-22,TC_oficial_venta,115.0,argentinadatos.com
2022-03-23,TC_oficial_venta,116.0,argentinadatos.com
2022-03-24,TC_oficial_venta,116.0,argentinadatos.com
2022-03-25,TC_oficial_venta,116.0,argentinadatos.com
