ejercicio,jurisdiccion,inciso_id,inciso_desc,unidad,credito_presupuestado,credito_vigente,credito_comprometido,credito_devengado,credito_pagado
2026,Jefatura de Gabinete de Ministros,1,Gastos en personal,millones_ars,755751.1850050002,752742.5078930001,327274.95728636056,237371.4255252699,231134.3710339499
2026,Jefatura de Gabinete de Ministros,2,Bienes de consumo,millones_ars,20929.045139000136,18388.269385999993,5177.049083270002,3862.41489412,3313.714752310002
2026,Jefatura de Gabinete de Ministros,3,Servicios no personales,millones_ars,313765.22194300115,314587.15080600115,114509.57524224013,91533.46602730005,73767.26533727981
2026,Jefatura de Gabinete de Ministros,4,Bienes de uso,millones_ars,71478.48762099998,56590.59985500006,16575.013945999995,11552.946562929996,5562.924945829998
2026,Jefatura de Gabinete de Ministros,5,Transferencias,millones_ars,100784.45456999999,87994.75287900002,17583.74343185,16463.56153624,4697.852179370001
2026,Jefatura de Gabinete de Ministros,6,Incremento de activos financieros,millones_ars,1204.0,400.2,33.73961686,33.73961686,26.52580326
