ejercicio,jur_id,jur_desc,prg_id,prg_desc,monto_original,monto_vigente,monto_normalizado
2025,1,Poder Legislativo Nacional,32,Control Parlamentario de los Fondos de la Seguridad Social,138.99,138.99,138990577.0
2026,1,Poder Legislativo Nacional,32,Control Parlamentario de los Fondos de la Seguridad Social,157.0,157.0,157000000.0
2023,1,Poder Legislativo Nacional,33,Promocion y Seguimiento de la Comunicacion Audiovisual,31586608.59,31586608.59,31586609.0
2024,1,Poder Legislativo Nacional,33,Promocion y Seguimiento de la Comunicacion Audiovisual,31.59,31.59,31586577.0
2025,1,Poder Legislativo Nacional,33,Promocion y Seguimiento de la Comunicacion Audiovisual,31.59,1.08,1080000.0
2026,1,Poder Legislativo Nacional,33,Promocion y Seguimiento de la Comunicacion Audiovisual,36.0,36.0,36000000.0
2023,1,Poder Legislativo Nacional,36,Defensa del Publico de Servicios de Comunicacion Audiovisual,902389532.39,1506834973.83,902389532.0
2024,1,Poder Legislativo Nacional,36,Defensa del Publico de Servicios de Comunicacion Audiovisual,1506.9,3836.31,3836306797.0
2025,1,Poder Legislativo Nacional,36,Defensa del Publico de Servicios de Comunicacion Audiovisual,3836.31,5562.41,5562406797.0
2026,1,Poder Legislativo Nacional,36,Defensa del Publico de Servicios de Comunicacion Audiovisual,4230.32,4020.4,4020396548.0
2023,1,Poder Legislativo Nacional,40,"Seguimiento y Control del Ministerio Publico de la Nacion (Ley N° 24.946,27.148 y 27.149)",33800033.8,33800033.8,33800034.0
2024,1,Poder Legislativo Nacional,40,"Seguimiento y Control del Ministerio Publico de la Nacion (Ley N° 24.946,27.148 y 27.149)",33.8,33.8,33800000.0
2025,1,Poder Legislativo Nacional,40,"Seguimiento y Control del Ministerio Publico de la Nacion (Ley N° 24.946,27.148 y 27.149)",33.8,0.0,0.0
2026,1,Poder Legislativo Nacional,40,"Seguimiento y Control del Ministerio Publico de la Nacion (Ley N° 24.946 ,27.148 y 27.149)",38.0,38.0,38000000.0
2023,1,Poder Legislativo Nacional,41,"Control Parlamentario de los Derechos de las Niñas, Niños y Adolescentes (NNA)",57945057.95,57945057.95,57945058.0
2024,1,Poder Legislativo Nacional,41,"Control Parlamentario de los Derechos de las Niñas, Niños y Adolescentes (NNA)",57.95,151.54,151545000.0
2025,1,Poder Legislativo Nacional,41,"Control Parlamentario de los Derechos de las Niñas, Niños y Adolescentes",151.54,151.54,151545000.0
2026,1,Poder Legislativo Nacional,41,"Control Parlamentario de los Derechos de las Niñas, Niños y Adolescentes",171.0,171.0,171000000.0
2023,1,Poder Legislativo Nacional,42,Apoyo al Congreso Nacional en Materia Fiscal,222930222.93,333430333.43,222930223.0
2024,1,Poder Legislativo Nacional,42,Apoyo al Congreso Nacional en Materia Fiscal,333.43,1073.91,1073908000.0
2025,1,Poder Legislativo Nacional,42,Apoyo al Congreso Nacional en Materia Fiscal,1073.91,1386.91,1386908000.0
2026,1,Poder Legislativo Nacional,42,Apoyo al Congreso Nacional en Materia Fiscal,1352.0,1296.8,1296800000.0
